"horario","pessoas"
"06:00",215
"06:15",681
"06:30",405
"06:45",401
"07:00",395
"07:15",371
"07:30",373
"07:45",296
"08:00",256
"08:15",264
"08:30",225
"08:45",165
"09:00",179
"09:15",128
"09:30",160
"09:45",145
"10:00",127
"10:15",95
"10:30",122
"10:45",129
"11:00",212
"11:15",98
"11:30",154
"11:45",139
"12:00",140
"12:15",120
"12:30",119
"12:45",143
"13:00",147
"13:15",192
"13:30",136
"13:45",118
"14:00",131
"14:15",129
"14:30",126
"14:45",147
"15:00",149
"15:15",155
"15:30",182
"15:45",241
"16:00",355
"16:15",380
"16:30",372
"16:45",542
"17:00",649
"17:15",655
"17:30",707
"17:45",634
"18:00",580
"18:15",591
"18:30",520
"18:45",550
"19:00",514
"19:15",415
"19:30",388
"19:45",314
"20:00",246
"20:15",172
"20:30",153
"20:45",232
