"dataEmissao","tipoDespesa","valorLiq"
"14/11","ASSINATURA DE PUBLICAÇÕES",104.25
"03/01","ASSINATURA DE PUBLICAÇÕES",68.4
"05/01","ASSINATURA DE PUBLICAÇÕES",924.9
"09/01","ASSINATURA DE PUBLICAÇÕES",422.5
"12/01","ASSINATURA DE PUBLICAÇÕES",1450.9
"13/01","ASSINATURA DE PUBLICAÇÕES",4108.55
"15/01","ASSINATURA DE PUBLICAÇÕES",599
"20/01","ASSINATURA DE PUBLICAÇÕES",402
"21/01","ASSINATURA DE PUBLICAÇÕES",107.7
"23/01","ASSINATURA DE PUBLICAÇÕES",76.9
"26/01","ASSINATURA DE PUBLICAÇÕES",376
"27/01","ASSINATURA DE PUBLICAÇÕES",309.5
"30/01","ASSINATURA DE PUBLICAÇÕES",58.9
"02/02","ASSINATURA DE PUBLICAÇÕES",336
"03/02","ASSINATURA DE PUBLICAÇÕES",907.61
"04/02","ASSINATURA DE PUBLICAÇÕES",42.6
"05/02","ASSINATURA DE PUBLICAÇÕES",415
"09/02","ASSINATURA DE PUBLICAÇÕES",70
"10/02","ASSINATURA DE PUBLICAÇÕES",772
"11/02","ASSINATURA DE PUBLICAÇÕES",550
"12/02","ASSINATURA DE PUBLICAÇÕES",1820
"18/02","ASSINATURA DE PUBLICAÇÕES",671.5
"19/02","ASSINATURA DE PUBLICAÇÕES",1433
"20/02","ASSINATURA DE PUBLICAÇÕES",860
"21/02","ASSINATURA DE PUBLICAÇÕES",988.1
"23/02","ASSINATURA DE PUBLICAÇÕES",1200.63
"24/02","ASSINATURA DE PUBLICAÇÕES",915.8
"25/02","ASSINATURA DE PUBLICAÇÕES",165
"26/02","ASSINATURA DE PUBLICAÇÕES",679.4
"27/02","ASSINATURA DE PUBLICAÇÕES",1711.2
"28/02","ASSINATURA DE PUBLICAÇÕES",625.65
"02/03","ASSINATURA DE PUBLICAÇÕES",4904
"03/03","ASSINATURA DE PUBLICAÇÕES",432
"04/03","ASSINATURA DE PUBLICAÇÕES",42.6
"05/03","ASSINATURA DE PUBLICAÇÕES",1997.33
"06/03","ASSINATURA DE PUBLICAÇÕES",768.8
"07/03","ASSINATURA DE PUBLICAÇÕES",119.8
"09/03","ASSINATURA DE PUBLICAÇÕES",3193.6
"10/03","ASSINATURA DE PUBLICAÇÕES",119.5
"11/03","ASSINATURA DE PUBLICAÇÕES",2243
